ofev_model,lead_time,model,N_rows,coverage_start,coverage_end,NSE,KGE,RMSE,REQ_%,TP_h,RER_%,MAPE_high_%,POD,FAR,CSI,NSE_high,KGE_high,RMSE_high,REQ_high_%,TP_high_h,RER_high_%,problem_reason
ICH1_Med,6,OFEV,218,2024-05-28T11:00:00,2024-12-31T11:00:00,0.9516440865097622,0.9344233714052866,13.701608419598825,-10.623838232835357,0.0,2.042588863722685,10.623838232835357,0.0,,0.0,,,,,,,NO_SIM_EVENTS|TOO_FEW_HIGH_FLOW_POINTS
ICH1_Med,6,Hydrique_ML,425,2024-05-28T12:00:00,2024-12-31T12:00:00,0.8133270366265167,0.7850768337992633,25.583686372574213,-36.812708334004,-18.0,-8.336789547838455,45.53557986087364,0.0,,0.0,,,,,,,NO_SIM_EVENTS|TOO_FEW_HIGH_FLOW_POINTS
ICH1_Med,6,Hydrique_physique,428,2024-05-28T12:00:00,2024-12-31T12:00:00,0.8107966782690306,0.8934282781605194,25.735039371407886,-32.82939738366965,-18.0,-8.079492963484514,36.282491366851346,0.0,,0.0,,,,,,,NO_SIM_EVENTS|TOO_FEW_HIGH_FLOW_POINTS
ICH1_Med,6,SIG_CNR,218,2024-05-28T15:00:00,2024-12-31T14:00:00,0.9079705439024529,0.9539795155048264,18.7878647621604,,,,19.105438979016228,0.0,1.0,0.0,,,,,,,TOO_FEW_HIGH_FLOW_POINTS
ICH1_Med,12,OFEV,218,2024-05-28T17:00:00,2024-12-31T17:00:00,0.8824110220931709,0.905849010180023,19.608164025916675,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH1_Med,12,Hydrique_ML,425,2024-05-28T18:00:00,2024-12-31T18:00:00,0.8406939311497266,0.8394904881413467,22.69552840927457,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH1_Med,12,Hydrique_physique,428,2024-05-28T18:00:00,2024-12-31T18:00:00,0.8242465507499125,0.9124535031090227,23.80814045780894,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH1_Med,12,SIG_CNR,218,2024-05-28T21:00:00,2024-12-31T20:00:00,0.8502723697042933,0.9026013969241531,21.36771400153158,,,,,,1.0,0.0,,,,,,,NO_OBS_EVENTS|TOO_FEW_HIGH_FLOW_POINTS
ICH1_Med,24,OFEV,214,2024-05-29T05:00:00,2024-12-31T05:00:00,0.8657526375021307,0.9162673370640237,20.687539230382594,-22.47456623789617,0.0,-6.9852950011655395,22.47456623789617,0.0,,0.0,,,,,,,NO_SIM_EVENTS|TOO_FEW_HIGH_FLOW_POINTS
ICH1_Med,24,Hydrique_ML,424,2024-05-29T06:00:00,2024-12-31T18:00:00,0.7875630736764948,0.8382819818906766,26.117176382330896,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH1_Med,24,Hydrique_physique,427,2024-05-29T06:00:00,2024-12-31T18:00:00,0.7572104471526405,0.8770242762618347,28.153269082927206,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH1_Med,24,SIG_CNR,217,2024-05-29T09:00:00,2024-12-31T07:00:00,0.8398130985106679,0.9156428965860656,23.175840273076602,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
