ofev_model,lead_time,model,N_rows,coverage_start,coverage_end,NSE,KGE,RMSE,REQ_%,TP_h,RER_%,MAPE_high_%,POD,FAR,CSI,NSE_high,KGE_high,RMSE_high,REQ_high_%,TP_high_h,RER_high_%,problem_reason
C1E_Ctrl,6,OFEV,1676,2020-09-15T13:00:00,2024-05-27T11:00:00,0.9002920239001526,0.871246698974316,23.0223939007446,-14.263525528081361,0.0,-8.193824426622735,16.036631522707268,0.6666666666666666,0.0,0.6666666666666666,0.05057602134795525,0.4300724766335394,118.3173016633952,-37.45278897502675,0.0,-14.341154768242426,
C1E_Ctrl,6,Hydrique_ML,2639,2020-09-16T00:00:00,2024-05-27T00:00:00,0.8149970328805209,0.8471071022612691,26.96618124335442,-32.619751463277844,0.0,-14.736020431632443,32.43099313759836,0.3333333333333333,0.25,0.3,-1.8785141817060862,0.45248821059102695,198.09187927479528,-33.75810429919726,-8.0,-33.04383315891762,
C1E_Ctrl,6,Hydrique_physique,2641,2020-09-16T00:00:00,2024-05-27T00:00:00,0.938707447937502,0.9649063516586845,15.480284031598245,-5.035925233564674,0.0,-0.6863821534784034,10.634544063888974,0.7777777777777778,0.125,0.7,0.6746524727524223,0.7002022247581619,66.59724146083596,2.7142006025537646,-8.0,-3.414572256765341,
C1E_Ctrl,6,SIG_CNR,1329,2020-09-15T14:00:00,2024-05-26T17:00:00,0.9576501377662292,0.9743381874070343,12.771543402022457,0.2677730119638807,0.0,-7.915398247612475,11.278632832729585,1.0,0.4444444444444444,0.5555555555555556,0.7848836116374867,0.8957720565060373,66.50772627662224,-9.672965004807017,,-3.683350551873072,
C1E_Ctrl,12,OFEV,1676,2020-09-15T19:00:00,2024-05-27T17:00:00,0.8530571393478563,0.8553951348067359,27.19640519759986,-15.476626485466277,0.0,-15.668890810269321,33.121842687546106,0.375,0.0,0.375,-5.285381594482115,-0.3789316329927581,168.17021035764716,11.886908997083587,-16.0,-21.544115129039604,
C1E_Ctrl,12,Hydrique_ML,2639,2020-09-16T06:00:00,2024-05-27T06:00:00,0.8003508301590576,0.8385101612385226,28.073479987718137,-34.44698677749143,0.0,-16.829720887853004,33.29065027489031,0.625,0.0,0.625,-1.0913894730539067,0.32818672111863667,211.19489992940805,-47.968737682086136,0.0,-30.633478660704572,
C1E_Ctrl,12,Hydrique_physique,2641,2020-09-16T06:00:00,2024-05-27T06:00:00,0.8838954165063649,0.9198556064124808,21.287966288174392,2.0984934155634267,0.0,-2.6060535370677833,16.061004691513407,0.75,0.25,0.6,0.4021154648379137,0.7361383772343353,112.92097714470825,-25.56821589104377,0.0,-11.052690264675249,
C1E_Ctrl,12,SIG_CNR,1329,2020-09-15T20:00:00,2024-05-26T23:00:00,0.9155617765355213,0.9565825508008676,17.238254697071504,-13.73474994011453,22.0,-5.7979578269703,16.567747859425413,0.6666666666666666,0.0,0.6666666666666666,-1.4197613861994816,0.1724432865324318,103.56391597186627,-8.757908590505753,25.0,-6.7076828707745175,
C1E_Ctrl,24,OFEV,1666,2020-09-16T07:00:00,2024-05-28T05:00:00,0.819786642004186,0.7963386895048343,31.032720571145582,-27.083470038539694,0.0,-21.21126992041573,28.941606962612177,0.42857142857142855,0.0,0.42857142857142855,-0.07726576046249445,0.5660534885891657,167.27622550771176,-25.829308654742555,1.0,-18.582865712346354,
C1E_Ctrl,24,Hydrique_ML,2639,2020-09-16T18:00:00,2024-05-27T18:00:00,0.7616196977180967,0.7748319713209638,30.47188846820344,-44.247934822236175,0.0,-22.314434680541982,38.13224769731174,0.25,0.0,0.25,-1.676253772407359,0.2996107609846409,244.1751006265445,-52.941883029595324,0.0,-39.50386967178123,
C1E_Ctrl,24,Hydrique_physique,2641,2020-09-16T18:00:00,2024-05-27T18:00:00,0.8487340685856203,0.8820795244818437,24.10527142785747,-15.250991076008498,0.0,-8.677887941946434,14.644260548116925,0.625,0.0,0.625,0.4995708352391055,0.756294457434155,107.0264997226624,-25.842752501652495,0.0,-11.814803533353643,
C1E_Ctrl,24,SIG_CNR,1329,2020-09-16T08:00:00,2024-05-27T11:00:00,0.8801611117758688,0.8820637312318265,23.36468698985666,-22.227229145793114,0.0,-12.252834924330774,25.14828843287703,0.5555555555555556,0.0,0.5555555555555556,0.1783155895384091,0.65768867974706,166.42152201880486,-31.08027998719491,,-24.707844275138687,
C1E_Med,6,OFEV,1676,2020-09-15T13:00:00,2024-05-27T11:00:00,0.9041592693329805,0.8567953528373944,22.571508651009957,-12.006720264562473,0.0,-7.483481635909844,14.416633430701282,0.5555555555555556,0.16666666666666666,0.5,0.10915279811059186,0.4599158717833771,114.60927590682724,-37.373255736666195,0.0,-15.123758109539084,
